axis_id,x_label,x_value,round_label,run_directory,successful_transactions,failed_transactions,send_rate_tps,failure_rate,throughput_tps,latency_min_ms,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms
elapsed_time_vs_latency,0.25,0.25,stability-bin-01,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,77,1212.1290322580646,1087,2088,2090.4,2091
elapsed_time_vs_latency,0.75,0.75,stability-bin-02,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,70,1241.483870967742,1083,2086.5,2089.7,2090
elapsed_time_vs_latency,1.25,1.25,stability-bin-03,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,76,1305.7096774193549,1082,2088,2101.9,2107
elapsed_time_vs_latency,1.75,1.75,stability-bin-04,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,70,1242.5483870967741,1085,2087,2088.4,2089
elapsed_time_vs_latency,2.25,2.25,stability-bin-05,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,76,1246.5483870967741,1087,2091,2093.4,2094
elapsed_time_vs_latency,2.75,2.75,stability-bin-06,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,68,1241.8709677419354,1085,2088,2088.7,2089
elapsed_time_vs_latency,3.25,3.25,stability-bin-07,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,81,1246.2903225806451,1088,2088,2099.2,2104
elapsed_time_vs_latency,3.75,3.75,stability-bin-08,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,82,1247.1290322580646,1088,2092.5,2096.7,2097
elapsed_time_vs_latency,4.25,4.25,stability-bin-09,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,80,1311.5483870967741,1093,2098.5,2105.1,2106
elapsed_time_vs_latency,4.75,4.75,stability-bin-10,/Users/venkatrayudu/Workspace/XAI workspace/crime-records-network/experiments/runs/2026-08-24T15-50-35-685Z_caliper_latency-stability,31,0,1,0.0,1,76,1243.967741935484,1087,2088,2089.3999999999996,2090
